feature,ols_coef,ridge_coef,lasso_coef
lot_frontage,102.79854302737048,2118.842064467957,1837.1121231393922
lot_area,0.5654901989088561,3346.651057618481,3185.312868808772
year_built,351.8788814923425,6007.739879608757,8804.280160496031
mas_vnr_area,5.932345384803938,1068.3403079022455,731.0096542603237
bsmtfin_sf_1,14.672625387226407,5307.423214380496,5740.2315241321585
bsmtfin_sf_2,4.124060599297415,769.9808660402191,546.5454426910526
bsmt_unf_sf,-0.8083185525960843,-85.9564679498832,-0.0
total_bsmt_sf,17.98713767820407,5878.142538590067,5614.206100215455
1st_flr_sf,14.67416379809995,5793.595974746679,0.0
2nd_flr_sf,23.014214493804346,6102.233358414207,0.0
low_qual_fin_sf,-9.814394284731668,-696.0586956215217,-1271.2604137491103
gr_liv_area,27.883811755081574,10099.025109113345,20093.130366687154
bedroom_abvgr,-1639.3194538017692,-892.9556063767893,-1146.0548776996961
kitchen_abvgr,-7120.07373596012,-2044.4020330617475,-2487.7409301915995
totrms_abvgrd,-174.54135485573642,853.5609050990237,0.0
fireplaces,4896.551928555267,2877.949989161765,3253.717624968201
garage_yr_blt,-0.5687316396540574,811.460944559134,0.0
garage_cars,3324.277224634714,2228.6677307898694,1787.9710281851044
garage_area,12.595821842096953,2681.755166724163,2579.0962597227926
wood_deck_sf,5.60171179431817,708.4164567927863,655.7901655252643
open_porch_sf,12.338985735289423,1064.6683457305792,750.9541469249801
enclosed_porch,10.618507217917093,512.5256240623983,401.456209215541
3ssn_porch,16.758459336737356,447.15117156697545,167.0143745070612
screen_porch,41.95894996349398,2109.085831099823,1968.0752700758171
pool_area,-37.0400026648748,-309.467296105722,0.0
misc_val,2.417165186215021,334.2276238506696,39.71274341403261
mo_sold,144.62286188219073,369.10314664897487,198.34675563571764
age,-79.77641144198705,-2381.811726121539,-2443.4688585392178
bathrooms,3380.584719116052,3211.980342266953,2807.939641816449
pool,21330.249185233613,768.6691097408818,410.19040821597537
regular_lot,-535.4149400792062,-291.14631531028533,-0.0
level_contour,-1968.8994218011346,-372.3497716275119,-322.1544932612718
pos_feat_nb,-5552.524908674461,-1475.9072508322963,-1487.590608198858
functional_Maj2,18875.97001907815,54.497716968115434,-0.0
functional_Min1,23753.83486575415,1741.416092040758,1490.7869427659477
functional_Min2,20077.007321431127,1320.4364546710308,1069.4975529724154
functional_Mod,11718.357909121747,179.32732473798407,0.0
functional_Typ,28939.394980949208,4534.537276256731,4417.1480091178555
misc_feature_None,20034.093049298124,539.4022440580109,-0.0
misc_feature_Othr,42889.746760741036,927.2247630834898,721.7929632130749
misc_feature_Shed,19724.34566169215,697.1145605612513,93.68993411803447
heating_GasW,-4708.770722976505,-247.33571526842925,-183.67071244664453
heating_Grav,-8154.320028711114,-195.24215222541645,-155.6574700032795
exterior_2nd_AsphShn,27069.934803254084,685.6665564995689,477.2517468631136
exterior_2nd_Brk Cmn,15335.550812036527,684.0401896990091,258.75067522590166
exterior_2nd_BrkFace,-6403.586110587948,-986.6555150777298,-825.7197663725979
exterior_2nd_CBlock,-28793.97023663611,-995.5589583160021,-680.5754242361487
exterior_2nd_CmentBd,13012.778406788462,576.6799189812514,547.940925436527
exterior_2nd_HdBoard,3447.8537054565254,-256.8589555792717,-207.88937720350327
exterior_2nd_ImStucc,2311.6558348978715,-39.139805586822874,-0.0
exterior_2nd_MetalSd,5006.565237747077,205.62030100542412,-0.0
exterior_2nd_Plywood,2279.4195342984563,-526.0333193002353,-488.1059911761331
exterior_2nd_Stucco,5303.918843576545,73.0310103685294,53.63532045646921
exterior_2nd_VinylSd,8040.098056393297,676.3218558224147,0.0
exterior_2nd_Wd Sdng,5076.176052641347,791.2412134169618,88.06494568117124
exterior_2nd_Wd Shng,3239.7552780904175,-282.0174423970009,-191.94898902503587
roof_matl_Tar&Grv,-12160.264522424166,-481.75922959320013,-107.00848077743161
roof_matl_WdShake,20415.14857918554,811.6847217527369,530.0129888024134
roof_matl_WdShngl,17643.46584109662,653.7784434646786,327.4075282014521
bsmt_qual_Fa,-6311.7385661357375,-1163.1023442428116,-726.2577257661653
bsmt_qual_Gd,-7074.67493603747,-2772.0679871678144,-2158.153028578642
bsmt_qual_None,9656.42139819209,287.00313658766163,0.0
bsmt_qual_TA,-5098.57196221304,-2227.240281935552,-1254.402482733665
bsmt_cond_Gd,5482.684528573805,1415.7453272989442,746.860108411413
bsmt_cond_None,9656.421398189412,287.00313658767664,0.0
bsmt_cond_TA,1268.9857054310303,695.8705911935511,0.0
ms_subclass_30,3397.9903048131237,111.96388483847521,70.85500831752458
ms_subclass_40,4572.072992073025,29.61884657152592,0.0
ms_subclass_45,38945.26899791132,1246.9210610480927,173.74623621764255
ms_subclass_50,12157.057468721941,972.0799232971276,0.0
ms_subclass_60,783.0727122955171,933.6059715275767,0.0
ms_subclass_70,5536.205462058906,504.2552782737378,0.0
ms_subclass_75,-1771.843780644031,-247.17395219443927,-0.0
ms_subclass_80,-2254.9877313471934,-218.6172885759133,-111.2087606857585
ms_subclass_85,150.42663025969478,13.60372655941883,0.0
ms_subclass_90,-6190.251109894726,-1042.3535608429854,-1299.4929367442692
ms_subclass_120,-232.17781939285712,-773.8476000180764,-0.0
ms_subclass_160,-4844.61115244671,-1664.0082727740664,-1324.240116160185
ms_subclass_180,-2407.234577507659,-404.9536857028781,-0.0
ms_subclass_190,-1439.6351838496241,-687.3825809361971,-946.1607176874562
exter_qual_Fa,1646.243498436542,233.26779917522254,-0.0
exter_qual_Gd,-963.2919470821179,73.95824822599239,0.0
exter_qual_TA,-5561.7264284385,-2424.367800434462,-2430.9946965274553
sale_type_CWD,11585.539368324042,565.7550221397557,298.3621660096249
sale_type_Con,39975.50953374446,1653.1906920988415,1413.5345268176086
sale_type_ConLD,7489.894507754563,433.81194863220117,0.0
sale_type_ConLI,714.6354272790978,-0.7991564420964224,-0.0
sale_type_ConLw,-1209.978472431539,-85.70363595902803,-0.0
sale_type_New,9214.462675005856,1956.6406900195104,1486.2404208234227
sale_type_Oth,23484.73623585478,955.8990845585345,714.5798085727143
sale_type_WD ,5606.030409470219,1060.4334957821352,369.11236193125313
bldg_type_2fmCon,-4498.985308113384,-718.4651674719746,-256.471053762271
bldg_type_Duplex,-6190.251109887826,-1042.3535608429736,-424.50348267150645
bldg_type_Twnhs,-18602.899261627106,-2180.1264958484985,-2464.2540458728718
bldg_type_TwnhsE,-11304.596559501299,-1400.4267834106902,-1829.9507554614029
bsmtfin_type_2_BLQ,-9618.140571369862,-956.5303489482491,-182.5146672025024
bsmtfin_type_2_GLQ,4939.594788197452,778.7172289853996,971.249784321435
bsmtfin_type_2_LwQ,-10248.47127270155,-1035.9352001937002,-207.92454538673834
bsmtfin_type_2_None,-24903.78326235346,-521.1661584298035,0.0
bsmtfin_type_2_Rec,-9665.272635332463,-1188.8459949503267,-488.8696762778035
bsmtfin_type_2_Unf,-7732.987660509195,-1261.389546518343,-0.0
bsmtfin_type_1_BLQ,-1371.571793189035,-605.2784408141084,-286.516930651875
bsmtfin_type_1_GLQ,3592.1790845942955,1725.1198068668916,1423.4796376739655
bsmtfin_type_1_LwQ,-3389.3845501747296,-598.0388450332443,-280.36164064674944
bsmtfin_type_1_None,9656.42139819372,287.00313658759273,0.0
bsmtfin_type_1_Rec,-3608.644207228088,-1069.97898247065,-758.1174451330609
bsmtfin_type_1_Unf,1383.1892224792578,-101.12228290627553,-0.0
exter_cond_Fa,-2357.7013133318446,-81.13366096884221,-0.0
exter_cond_Gd,-7590.912785083719,-730.0553471523473,-314.2833284434358
exter_cond_Po,-6945.95696627036,-36.85021377205583,-0.0
exter_cond_TA,-5188.304075796063,-163.91106478250134,0.0
overall_qual_3,-18031.332294486445,-1470.6159294241768,-703.0018792341809
overall_qual_4,-16163.822720901526,-2353.1993122112185,-1001.0821621655795
overall_qual_5,-14516.307448250564,-3410.077227929833,-1114.9831622895765
overall_qual_6,-11813.401646532075,-2248.6792518352813,-0.0
overall_qual_7,-3417.872176242121,1456.0818931356537,3821.739150708852
overall_qual_8,11956.973876126827,5951.217742762711,8538.039995144254
overall_qual_9,35193.8338594938,5903.420176712911,7185.637090071563
overall_qual_10,43250.95934619151,2516.8093279259892,2864.368379654961
roof_style_Gable,-11792.457041314437,-435.4912361495705,-0.0
roof_style_Gambrel,-12550.196654329646,-25.996175236264275,0.0
roof_style_Hip,-12009.410635090402,-226.00939055908123,0.0
roof_style_Mansard,-48984.16185135513,-1873.2195677287707,-1618.2949012318302
roof_style_Shed,-14673.515348756298,-218.4555944661732,-0.0
heating_qc_Fa,-3724.29940864748,-614.9330544887639,-463.95791908322803
heating_qc_Gd,-347.19391229283394,-274.43499757967805,-0.0
heating_qc_TA,-3156.283926867323,-1525.19391152386,-1337.4102684374952
central_air_Y,-2823.4174158088977,-202.63687827480214,-20.269916837296805
bsmt_exposure_Gd,8323.02476866989,2242.7502047236717,2285.156843468
bsmt_exposure_Mn,-2602.1124408818487,-637.9347883150009,-482.3019668912053
bsmt_exposure_No,-2113.0533727133825,-1346.917956570984,-1141.4044435437804
bsmt_exposure_None,-6931.779460865111,-444.7317822507834,0.0
pool_qc_None,-21330.249185223645,-768.669109740922,-299.7656012750334
pool_qc_TA,-46876.599193158545,-1302.4429120398863,-904.7341584990455
garage_finish_None,-4087.940160970277,89.47079339612846,0.0
garage_finish_RFn,-1164.0234415972914,-885.4439836247367,-543.9573706474062
garage_finish_Unf,-160.6249668671645,-400.5831923375424,-186.85051048738612
kitchen_qual_Fa,-19677.86394642692,-1910.8058606821878,-1962.520112827202
kitchen_qual_Gd,-13682.661845247205,-3725.320936883813,-4105.030797497063
kitchen_qual_TA,-14257.945920794398,-4185.805514835333,-4744.209402358377
neighborhood_Blueste,-3571.608755951486,126.59068557943971,3.6625864454193104
neighborhood_BrDale,7391.790362067744,1168.5589025888773,1050.389334248658
neighborhood_BrkSide,-8065.7777483694945,253.81074421772178,755.5426302706678
neighborhood_ClearCr,-7712.132781428843,523.4109300321832,775.3959922402256
neighborhood_CollgCr,-13973.268680877654,-1119.103980940073,-0.0
neighborhood_Crawfor,1901.1782908638986,2258.9827097313396,2980.026691328267
